Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte;lat;lon
de-sh;Kiel;Bevoelkerung;31.12.2021;Meimersdorf;Haushalte;299.0;304.0;433.0;77;77;87;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31.12.2021;Moorsee;Haushalte;272.0;244.0;263.0;42;41;52;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31.12.2021;Wellsee;Haushalte;1023.0;626.0;465.0;115;143;161;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31.12.2021;Roenne;Haushalte;75.0;63.0;33.0;7;5;19;;
de-sh;Kiel;Bevoelkerung;31_12_2020;Altstadt;Haushalte;407.0;162.0;42.0;7;10;45;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31_12_2020;Vorstadt;Haushalte;644.0;165.0;42.0;3;13;41;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31_12_2020;Exerzierplatz;Haushalte;3259.0;733.0;254.0;19;78;180;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31_12_2020;Damperhof;Haushalte;1704.0;350.0;134.0;15;38;98;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31_12_2020;Brunswik;Haushalte;3261.0;681.0;234.0;21;97;170;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31_12_2020;Duesternbrook;Haushalte;768.0;352.0;228.0;59;33;99;;
de-sh;Kiel;Bevoelkerung;31_12_2020;Bluecherplatz;Haushalte;4455.0;1312.0;742.0;85;217;280;;
de-sh;Kiel;Bevoelkerung;31_12_2020;Wik;Haushalte;6021.0;2462.0;1206.0;230;389;511;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31_12_2020;Ravensberg;Haushalte;5732.0;1209.0;503.0;57;165;293;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31_12_2020;Schreventeich;Haushalte;5303.0;1378.0;607.0;87;169;312;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31_12_2020;Suedfriedhof;Haushalte;7291.0;1627.0;580.0;93;241;417;;
de-sh;Kiel;Bevoelkerung;31_12_2020;Gaarden-Ost;Haushalte;6713.0;1194.0;1243.0;206;617;741;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31_12_2020;Gaarden-Sued/Kronsburg;Haushalte;3146.0;1206.0;700.0;151;251;399;;
de-sh;Kiel;Bevoelkerung;31_12_2020;Hassee;Haushalte;4627.0;1363.0;664.0;181;277;408;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31_12_2020;Hasseldieksdamm;Haushalte;665.0;367.0;222.0;64;48;85;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31_12_2020;Ellerbek;Haushalte;1748.0;664.0;461.0;117;124;226;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31_12_2020;Wellingdorf;Haushalte;2495.0;957.0;463.0;104;288;291;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31_12_2020;Holtenau;Haushalte;1392.0;769.0;323.0;102;104;172;54.3724973;10.1361679
