Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2019;8715;2262;359;824;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2019;7884;2698;457;830;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2019;10289;3035;757;1131;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2019;11488;4434;697;1939;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2019;5171;3789;689;986;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2019;6788;3748;719;1222;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2019;1161;1237;181;222;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2019;2850;2331;495;646;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2019;3679;2847;645;878;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2019;2465;2271;393;498;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2019;3185;2799;495;828;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2019;940;710;196;223;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2019;6413;4303;848;1178;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2019;7555;7171;971;1567;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2019;3604;4437;613;660;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2019;1364;2542;542;457;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2019;9623;7450;1228;1596;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2019;2613;3528;417;496;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2019;1499;1553;92;169;54.2747652;10.1101233
