Land;Stadt;Kategorie;Jahr;Stadtteil;Tuerkei;Polen;Irak;Russland;Ukraine;Syrien;Bulgarien;lat;lon
de-sh;Kiel;Bevoelkerung;2017;Wik             ;138;100.0;114;106;45;246;17;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2017;Ravensberg;61;59.0;12;42;19;66;12;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2017;Schreventeich;40;34.0;33;23;10;29;5;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2017;Suedfriedhof  ;174;95.0;49;53;41;225;37;;
de-sh;Kiel;Bevoelkerung;2017;Gaarden-Ost ;1.399;348.0;501;158;114;1072;1098;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2017;Gaarden-Sued/Kronsburg;169;111.0;76;35;26;216;106;;
de-sh;Kiel;Bevoelkerung;2017;Hassee    ;167;146.0;56;24;8;187;39;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2017;Hasseldieksdamm;11;18.0;2;8;4;1;2;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2017;Ellerbek     ;254;78.0;47;46;13;147;29;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2017;Wellingdorf  ;277;109.0;27;25;16;135;37;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2017;Holtenau   ;27;24.0;156;5;8;249;0;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2017;Pries        ;123;40.0;35;31;16;121;6;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2017;Friedrichsort   ;80;22.0;9;8;0;20;0;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2017;Neumuehlen/Dietrichsdorf;475;95.0;138;51;25;448;47;;
de-sh;Kiel;Bevoelkerung;2017;Elmschenhagen;249;140.0;91;22;21;246;34;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2017;Suchsdorf ;25;27.0;27;13;6;15;10;;
