Land;Stadt;Kategorie;Jahr;Stadtteil;evangelisch;katholisch;sonstige/ohne;lat;lon
de-sh;Kiel;Bevoelkerung;2019;Ravensberg;4715;883;6562;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2019;Schreventeich;4843;908;6118;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2019;Suedfriedhof;5902;1064;8246;;
de-sh;Kiel;Bevoelkerung;2019;Gaarden-Ost;3901;978;13679;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2019;Gaarden-Sued/Kronsburg;3649;661;6325;;
de-sh;Kiel;Bevoelkerung;2019;Hassee;4651;707;7119;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2019;Hasseldieksdamm;1099;211;1491;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2019;Ellerbek;1888;377;4057;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2019;Wellingdorf;2683;470;4896;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2019;Holtenau;2100;331;3196;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2019;Pries;2732;382;4193;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2019;Friedrichsort;724;131;1214;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2019;Neumuehlen/Dietrichsdorf;4227;662;7853;;
de-sh;Kiel;Bevoelkerung;2019;Elmschenhagen;6191;947;10126;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2019;Suchsdorf;3741;625;4948;;
de-sh;Kiel;Bevoelkerung;2019;Schilksee;1825;342;2738;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2019;Mettenhof;4448;1863;13586;;
de-sh;Kiel;Bevoelkerung;2019;Russee;2623;444;3987;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2019;Meimersdorf;1063;180;2070;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2019;Moorsee;682;116;1296;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2019;Wellsee;1704;395;3251;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2019;Roenne;196;17;223;;
de-sh;Kiel;Bevoelkerung;2018;Altstadt;345;110;551;;
de-sh;Kiel;Bevoelkerung;2018;Vorstadt;460;97;756;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2018;Exerzierplatz;2486;509;3512;;
de-sh;Kiel;Bevoelkerung;2018;Damperhof;1251;261;1865;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2018;Brunswik;2492;457;3369;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2018;Duesternbrook;1256;301;1601;;
de-sh;Kiel;Bevoelkerung;2018;Bluecherplatz;4396;836;5985;;
de-sh;Kiel;Bevoelkerung;2018;Wik;7050;1341;11304;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2018;Ravensberg;4827;950;6405;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2018;Schreventeich;5024;895;6059;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2018;Suedfriedhof;6069;1097;8221;;
de-sh;Kiel;Bevoelkerung;2018;Gaarden-Ost;4035;995;13603;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2018;Gaarden-Sued/Kronsburg;3793;679;6227;;
de-sh;Kiel;Bevoelkerung;2018;Hassee;4762;720;6858;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2018;Hasseldieksdamm;1162;205;1460;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2018;Ellerbek;1967;381;4015;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2018;Wellingdorf;2738;483;4805;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2018;Holtenau;2144;331;3288;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2018;Pries;2830;405;4187;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2018;Friedrichsort;747;127;1209;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2018;Neumuehlen/Dietrichsdorf;4396;669;7612;;
de-sh;Kiel;Bevoelkerung;2018;Elmschenhagen;6326;938;10020;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2018;Suchsdorf;3876;643;4820;;
de-sh;Kiel;Bevoelkerung;2018;Schilksee;1903;343;2727;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2018;Mettenhof;4625;1919;13464;;
de-sh;Kiel;Bevoelkerung;2018;Russee;2680;459;3927;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2018;Meimersdorf;1116;182;2028;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2018;Moorsee;704;127;1267;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2018;Wellsee;1762;392;3148;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2018;Roenne;193;20;212;;
de-sh;Kiel;Bevoelkerung;2017;Altstadt;325;89;421;;
de-sh;Kiel;Bevoelkerung;2017;Vorstadt;455;95;768;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2017;Exerzierplatz;2556;509;3446;;
de-sh;Kiel;Bevoelkerung;2017;Damperhof;1269;270;1786;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2017;Brunswik;2562;462;3321;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2017;Duesternbrook;1268;309;1662;;
de-sh;Kiel;Bevoelkerung;2017;Bluecherplatz;4520;858;5843;;
de-sh;Kiel;Bevoelkerung;2017;Wik;7039;1419;11198;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2017;Ravensberg;4983;1015;6425;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2017;Schreventeich;5088;932;5868;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2017;Suedfriedhof;6119;1115;8102;;
de-sh;Kiel;Bevoelkerung;2017;Gaarden-Ost;4206;1121;13551;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2017;Gaarden-Sued/Kronsburg;3891;676;6197;;
de-sh;Kiel;Bevoelkerung;2017;Hassee;4888;778;6681;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2017;Hasseldieksdamm;1198;206;1448;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2017;Ellerbek;2026;385;3910;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2017;Wellingdorf;2795;500;4737;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2017;Holtenau;2227;320;3155;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2017;Pries;2896;408;4117;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2017;Friedrichsort;767;129;1196;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2017;Neumuehlen/Dietrichsdorf;4537;694;7500;;
de-sh;Kiel;Bevoelkerung;2017;Elmschenhagen;6459;947;9814;54.2934876;10.184575
