Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte
de-sh;Kiel;Bevoelkerung;31_12_2019;Neumuehlen/Dietrichsdorf;Personen;3432;1391;795;186;415;456
de-sh;Kiel;Bevoelkerung;31_12_2019;Elmschenhagen;Personen;3917;2210;1229;334;474;552
de-sh;Kiel;Bevoelkerung;31_12_2019;Suchsdorf;Personen;1791;1258;841;201;185;256
de-sh;Kiel;Bevoelkerung;31_12_2019;Schilksee;Personen;1279;943;238;81;72;160
de-sh;Kiel;Bevoelkerung;31_12_2019;Mettenhof;Personen;3321;1887;1753;368;605;729
de-sh;Kiel;Bevoelkerung;31_12_2019;Russee;Personen;1231;1073;573;172;145;230
de-sh;Kiel;Bevoelkerung;31_12_2019;Meimersdorf;Personen;283;305;462;68;74;86
de-sh;Kiel;Bevoelkerung;31_12_2019;Moorsee;Personen;242;245;250;40;46;53
de-sh;Kiel;Bevoelkerung;31_12_2019;Wellsee;Personen;1057;629;467;120;154;155
de-sh;Kiel;Bevoelkerung;31_12_2019;Roenne;Personen;70;72;35;8;7;20
de-sh;Kiel;Bevoelkerung;31_12_2018;Altstadt;Haushalte;335;136;38;5;7;39
de-sh;Kiel;Bevoelkerung;31_12_2018;Vorstadt;Haushalte;664;161;43;3;9;53
de-sh;Kiel;Bevoelkerung;31_12_2018;Exerzierplatz;Haushalte;3013;696;262;22;74;182
de-sh;Kiel;Bevoelkerung;31_12_2018;Damperhof;Haushalte;1720;335;136;16;43;91
de-sh;Kiel;Bevoelkerung;31_12_2018;Brunswik;Haushalte;3194;694;218;37;109;181
de-sh;Kiel;Bevoelkerung;31_12_2018;Duesternbrook;Haushalte;757;341;221;49;35;111
de-sh;Kiel;Bevoelkerung;31_12_2018;Bluecherplatz;Haushalte;4335;1341;730;79;242;295
de-sh;Kiel;Bevoelkerung;31_12_2018;Wik;Haushalte;5918;2475;1235;232;379;561
de-sh;Kiel;Bevoelkerung;31_12_2018;Ravensberg;Haushalte;5730;1178;500;53;160;302
de-sh;Kiel;Bevoelkerung;31_12_2018;Schreventeich;Haushalte;5194;1340;589;86;188;314
de-sh;Kiel;Bevoelkerung;31_12_2018;Suedfriedhof;Haushalte;7278;1638;583;92;253;411
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Ost;Haushalte;6492;1165;1193;192;631;726
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Sued/Kronsburg;Haushalte;3171;1204;704;151;275;363
de-sh;Kiel;Bevoelkerung;31_12_2018;Hassee;Haushalte;4576;1336;653;174;274;432
de-sh;Kiel;Bevoelkerung;31_12_2018;Hasseldieksdamm;Haushalte;598;378;220;57;45;83
de-sh;Kiel;Bevoelkerung;31_12_2018;Ellerbek;Haushalte;1666;703;441;113;137;208
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellingdorf;Haushalte;2375;961;468;117;281;280
de-sh;Kiel;Bevoelkerung;31_12_2018;Holtenau;Haushalte;1317;764;321;92;101;181
de-sh;Kiel;Bevoelkerung;31_12_2018;Pries;Haushalte;1762;861;508;135;230;261
de-sh;Kiel;Bevoelkerung;31_12_2018;Friedrichsort;Haushalte;673;217;140;24;61;68
de-sh;Kiel;Bevoelkerung;31_12_2018;Neumuehlen/Dietrichsdorf;Haushalte;3419;1383;758;188;428;452
de-sh;Kiel;Bevoelkerung;31_12_2018;Elmschenhagen;Haushalte;3801;2178;1180;331;482;555
de-sh;Kiel;Bevoelkerung;31_12_2018;Suchsdorf;Haushalte;1655;1253;851;199;179;259
de-sh;Kiel;Bevoelkerung;31_12_2018;Schilksee;Haushalte;1144;930;243;88;68;156
de-sh;Kiel;Bevoelkerung;31_12_2018;Mettenhof;Haushalte;3259;1900;1741;375;638;714
de-sh;Kiel;Bevoelkerung;31_12_2018;Russee;Haushalte;1212;1074;572;171;154;234
de-sh;Kiel;Bevoelkerung;31_12_2018;Meimersdorf;Haushalte;290;291;472;71;78;81
de-sh;Kiel;Bevoelkerung;31_12_2018;Moorsee;Haushalte;248;254;254;36;43;51
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellsee;Haushalte;1042;623;463;125;153;145
de-sh;Kiel;Bevoelkerung;31_12_2018;Roenne;Haushalte;62;75;33;9;8;17
de-sh;Kiel;Bevoelkerung;31_12_2018;Altstadt;Personen;381;236;117;6;11;84
de-sh;Kiel;Bevoelkerung;31_12_2018;Vorstadt;Personen;669;327;147;16;31;128
de-sh;Kiel;Bevoelkerung;31_12_2018;Exerzierplatz;Personen;3312;1517;768;92;300;522
de-sh;Kiel;Bevoelkerung;31_12_2018;Damperhof;Personen;1747;698;476;53;105;246
de-sh;Kiel;Bevoelkerung;31_12_2018;Brunswik;Personen;3331;1392;721;135;304;462
de-sh;Kiel;Bevoelkerung;31_12_2018;Duesternbrook;Personen;969;866;872;145;122;265
de-sh;Kiel;Bevoelkerung;31_12_2018;Bluecherplatz;Personen;4413;2581;2646;259;639;683
de-sh;Kiel;Bevoelkerung;31_12_2018;Wik;Personen;6407;5368;4519;832;1190;1340
de-sh;Kiel;Bevoelkerung;31_12_2018;Ravensberg;Personen;6335;2888;1726;170;537;767
de-sh;Kiel;Bevoelkerung;31_12_2018;Schreventeich;Personen;5369;2863;2070;222;589;775
de-sh;Kiel;Bevoelkerung;31_12_2018;Suedfriedhof;Personen;7578;3360;2090;335;838;1135
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Ost;Personen;6859;2432;4762;723;2286;1816
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Sued/Kronsburg;Personen;3402;2438;2628;498;848;950
de-sh;Kiel;Bevoelkerung;31_12_2018;Hassee;Personen;4676;2700;2426;554;929;1062
de-sh;Kiel;Bevoelkerung;31_12_2018;Hasseldieksdamm;Personen;664;754;864;176;161;233
de-sh;Kiel;Bevoelkerung;31_12_2018;Ellerbek;Personen;1817;1444;1733;313;432;582
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellingdorf;Personen;2545;1949;1672;398;771;697
de-sh;Kiel;Bevoelkerung;31_12_2018;Holtenau;Personen;1442;1584;1428;279;373;596
de-sh;Kiel;Bevoelkerung;31_12_2018;Pries;Personen;1860;1788;1858;464;726;725
de-sh;Kiel;Bevoelkerung;31_12_2018;Friedrichsort;Personen;712;461;506;83;156;174
de-sh;Kiel;Bevoelkerung;31_12_2018;Neumuehlen/Dietrichsdorf;Personen;3652;2955;2966;669;1344;1145
de-sh;Kiel;Bevoelkerung;31_12_2018;Elmschenhagen;Personen;4089;4312;4654;1203;1568;1394
de-sh;Kiel;Bevoelkerung;31_12_2018;Suchsdorf;Personen;1756;2563;3225;690;543;619
de-sh;Kiel;Bevoelkerung;31_12_2018;Schilksee;Personen;1293;1845;986;316;196;391
de-sh;Kiel;Bevoelkerung;31_12_2018;Mettenhof;Personen;3421;3820;7496;1236;2266;1792
de-sh;Kiel;Bevoelkerung;31_12_2018;Russee;Personen;1257;2088;2108;576;453;594
de-sh;Kiel;Bevoelkerung;31_12_2018;Meimersdorf;Personen;313;579;1858;206;231;172
de-sh;Kiel;Bevoelkerung;31_12_2018;Moorsee;Personen;253;499;944;131;122;145
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellsee;Personen;1109;1245;1813;355;450;353
de-sh;Kiel;Bevoelkerung;31_12_2018;Roenne;Personen;70;150;128;22;19;36
de-sh;Kiel;Bevoelkerung;31_12_2017;Altstadt;Haushalte;381;118;31;1;4;32
de-sh;Kiel;Bevoelkerung;31_12_2017;Vorstadt;Haushalte;669;163;38;5;13;51
de-sh;Kiel;Bevoelkerung;31_12_2017;Exerzierplatz;Haushalte;3312;758;217;27;117;222
de-sh;Kiel;Bevoelkerung;31_12_2017;Damperhof;Haushalte;1747;350;128;16;46;109
de-sh;Kiel;Bevoelkerung;31_12_2017;Brunswik;Haushalte;3331;696;196;43;129;199
de-sh;Kiel;Bevoelkerung;31_12_2017;Duesternbrook;Haushalte;969;436;221;44;48;111
de-sh;Kiel;Bevoelkerung;31_12_2017;Bluecherplatz;Haushalte;4413;1289;713;81;272;302
de-sh;Kiel;Bevoelkerung;31_12_2017;Wik;Haushalte;6407;2684;1183;255;460;568
de-sh;Kiel;Bevoelkerung;31_12_2017;Ravensberg;Haushalte;6335;1444;467;52;219;337
de-sh;Kiel;Bevoelkerung;31_12_2017;Schreventeich;Haushalte;5369;1431;553;67;229;339
de-sh;Kiel;Bevoelkerung;31_12_2017;Suedfriedhof;Haushalte;7578;1677;557;98;328;485
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Ost;Haushalte;6859;1216;1132;203;774;753
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Sued/Kronsburg;Haushalte;3402;1219;663;150;321;399
de-sh;Kiel;Bevoelkerung;31_12_2017;Hassee;Haushalte;4676;1350;620;165;362;456
de-sh;Kiel;Bevoelkerung;31_12_2017;Hasseldieksdamm;Haushalte;664;377;217;54;57;94
de-sh;Kiel;Bevoelkerung;31_12_2017;Ellerbek;Haushalte;1817;723;422;92;154;236
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellingdorf;Haushalte;2545;976;433;121;302;299
de-sh;Kiel;Bevoelkerung;31_12_2017;Holtenau;Haushalte;1442;791;362;87;135;227
de-sh;Kiel;Bevoelkerung;31_12_2017;Pries;Haushalte;1860;894;476;139;269;307
de-sh;Kiel;Bevoelkerung;31_12_2017;Friedrichsort;Haushalte;712;230;130;26;59;75
de-sh;Kiel;Bevoelkerung;31_12_2017;Neumuehlen/Dietrichsdorf;Haushalte;3652;1478;737;198;490;481
de-sh;Kiel;Bevoelkerung;31_12_2017;Elmschenhagen;Haushalte;4089;2156;1166;364;578;586
de-sh;Kiel;Bevoelkerung;31_12_2017;Suchsdorf;Haushalte;1756;1282;824;216;206;265
de-sh;Kiel;Bevoelkerung;31_12_2017;Schilksee;Haushalte;1293;921;253;98;80;175
de-sh;Kiel;Bevoelkerung;31_12_2017;Mettenhof;Haushalte;3421;1910;1689;365;734;737
de-sh;Kiel;Bevoelkerung;31_12_2017;Russee;Haushalte;1257;1044;552;181;174;244
de-sh;Kiel;Bevoelkerung;31_12_2017;Meimersdorf;Haushalte;313;289;478;60;91;72
de-sh;Kiel;Bevoelkerung;31_12_2017;Moorsee;Haushalte;253;249;245;39;43;61
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellsee;Haushalte;1109;623;463;110;165;148
de-sh;Kiel;Bevoelkerung;31_12_2017;Roenne;Haushalte;70;75;33;7;7;17
de-sh;Kiel;Bevoelkerung;31_12_2017;Altstadt;Personen;381;236;117;6;11;84
de-sh;Kiel;Bevoelkerung;31_12_2017;Vorstadt;Personen;669;327;147;16;31;128
de-sh;Kiel;Bevoelkerung;31_12_2017;Exerzierplatz;Personen;3312;1517;768;92;300;522
de-sh;Kiel;Bevoelkerung;31_12_2017;Damperhof;Personen;1747;698;476;53;105;246
de-sh;Kiel;Bevoelkerung;31_12_2017;Brunswik;Personen;3331;1392;721;135;304;462
de-sh;Kiel;Bevoelkerung;31_12_2017;Duesternbrook;Personen;969;866;872;145;122;265
de-sh;Kiel;Bevoelkerung;31_12_2017;Bluecherplatz;Personen;4413;2581;2646;259;639;683
de-sh;Kiel;Bevoelkerung;31_12_2017;Wik;Personen;6407;5368;4519;832;1190;1340
de-sh;Kiel;Bevoelkerung;31_12_2017;Ravensberg;Personen;6335;2888;1726;170;537;767
de-sh;Kiel;Bevoelkerung;31_12_2017;Schreventeich;Personen;5369;2863;2070;222;589;775
de-sh;Kiel;Bevoelkerung;31_12_2017;Suedfriedhof;Personen;7578;3360;2090;335;838;1135
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Ost;Personen;6859;2432;4762;723;2286;1816
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Sued/Kronsburg;Personen;3402;2438;2628;498;848;950
de-sh;Kiel;Bevoelkerung;31_12_2017;Hassee;Personen;4676;2700;2426;554;929;1062
de-sh;Kiel;Bevoelkerung;31_12_2017;Hasseldieksdamm;Personen;664;754;864;176;161;233
de-sh;Kiel;Bevoelkerung;31_12_2017;Ellerbek;Personen;1817;1444;1733;313;432;582
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellingdorf;Personen;2545;1949;1672;398;771;697
de-sh;Kiel;Bevoelkerung;31_12_2017;Holtenau;Personen;1442;1584;1428;279;373;596
